                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.9018,                 6.9236,                 2.9306,                      0,                      0,                      0,                      0,                  4.057,                 4.0332,                 2.2015,                 0.0706,              0.0032667,              0.0032667
                      0,                 2.4696,                 1.9797,                 0.0706,              0.0032667,              0.0032667
                      1,                 5.7234,                 4.4031,                 2.9989,                      0,                      0,                      0,                      0,                 6.5168,                 3.9104,                 3.1693,               0.040578,              0.0065782,              0.0065782
                      1,                 1.6829,                   2.02,               0.040578,              0.0065782,              0.0065782
                      2,                 5.8633,                 4.1888,                 3.1494,                 0.0008,                 0.0045,                 0.0029,                0.00048,                 5.3967,                 7.8056,                 3.1377,               0.010534,              0.0098678,              0.0098678
                      2,                 1.6273,                 2.0011,               0.010534,              0.0098678,              0.0098678
                      3,                 5.2894,                 3.5986,                 3.1534,                 0.0019,                0.00225,                0.00345,                0.00034,                 6.1903,                 2.8008,                 2.8491,               0.009901,               0.009901,               0.009901
                      3,                 1.6353,                   2.09,               0.009901,               0.009901,               0.009901
                      4,                 5.2135,                 3.9132,                 3.1902,                 0.0019,                0.00225,                0.00345,                0.00034,                 6.2183,                 2.8198,                 2.8419,               0.009901,               0.009901,               0.009901
                      4,                 1.6289,                  2.084,               0.009901,               0.009901,               0.009901
                      5,                 4.9419,                 3.0814,                 2.9075,                0.00505,                0.07207,                0.00892,                0.00188,                 4.2344,                 22.609,                 3.4767,               0.009868,               0.009868,               0.009868
                      5,                 1.6123,                 2.0244,               0.009868,               0.009868,               0.009868
                      6,                 4.3889,                 2.9835,                 2.5117,                0.01303,                0.19369,                0.04156,                0.01091,                 3.7833,                 9.2335,                 2.2303,               0.009835,               0.009835,               0.009835
                      6,                 1.5918,                 1.9461,               0.009835,               0.009835,               0.009835
                      7,                 4.1744,                 2.4745,                 2.1875,                0.01453,                0.20495,                0.04849,                0.01122,                 3.6781,                 1.9483,                  1.761,               0.009802,               0.009802,               0.009802
                      7,                 1.5794,                 1.8968,               0.009802,               0.009802,               0.009802
                      8,                 4.0682,                 2.4264,                 1.9591,                0.01939,                0.28153,                0.05828,                0.01559,                 3.3004,                 1.8478,                  1.511,               0.009769,               0.009769,               0.009769
                      8,                 1.5409,                 1.7428,               0.009769,               0.009769,               0.009769
                      9,                 3.8766,                 2.4276,                 1.7667,                 0.0199,                0.26351,                0.03425,                0.00754,                 3.6405,                 2.7363,                 1.6007,               0.009736,               0.009736,               0.009736
                      9,                 1.5266,                  1.736,               0.009736,               0.009736,               0.009736
                     10,                  3.707,                 2.3246,                 1.7182,                0.01924,                0.28378,                0.05192,                0.01155,                 3.3601,                 2.0753,                 1.5035,               0.009703,               0.009703,               0.009703
